event,isd_station,matched_ghcnd_station,distance_km,guessed_at_risk,max_risk_score,actual_missing_pct,actually_failed
Rita,999999-93915,USW00093915,0.05055757749960742,True,0.25647338689846855,0.0,False
Michael,720361-63870,USW00063870,0.18903137529554004,True,0.3004634949714282,33.33,False
Michael,720363-63872,USW00063872,0.03466704130075334,True,0.32877874973050947,33.33,False
Michael,720735-73805,USW00073805,0.052981069244448044,True,0.26730439097478825,33.33,False
Michael,722069-53853,USW00053853,0.05841793988481663,True,0.31542695222046185,0.0,False
Michael,722140-93805,USC00088756,0.5321328230275728,True,0.2550694612009728,16.67,False
Michael,722166-93845,USW00093845,0.045492421685924905,True,0.26905449099543544,16.67,False
Michael,722170-03813,USW00003813,0.014533460787495137,True,0.2852691678604768,0.0,False
Michael,722175-13860,USC00099124,3.0406426104305324,True,0.2674632812634265,0.0,False
Michael,722200-12832,USW00012832,0.031029245790277514,True,0.2153509216438735,0.0,False
Michael,722219-99999,US1ALCF0004,3.643063464069658,True,0.3725765796434149,100.0,True
Michael,722238-63873,US1ALDL0011,12.72338468593924,True,0.27094856988539856,50.0,True
Michael,722239-53861,US1ALDL0011,6.855902456429668,True,0.4041322832965921,50.0,True
Michael,722250-13829,USW00013829,1.6746424803243682,True,0.49587813792432295,100.0,True
Michael,722255-93842,USW00093842,0.048269628488596734,True,0.21868119674633277,0.0,False
Michael,722260-13895,USW00013895,0.05763046320873541,True,0.4632683986777939,0.0,False
Michael,722265-13821,US1ALMY0007,8.710183386721189,True,0.47075481078771725,0.0,False
Michael,722267-03878,USW00003878,0.06240086440512595,True,0.4689572864891088,0.0,False
Michael,722268-13839,USW00013839,0.03614844682095434,True,0.2404148835962026,0.0,False
Michael,722269-03850,US1ALDL0011,8.026840563409527,True,0.26730439097478825,50.0,True
Michael,722275-53843,USW00053843,0.03059387569092234,True,0.2998281387640062,0.0,False
Michael,722284-03892,USW00003892,0.030218119866374616,False,0.10529551978629341,0.0,False
Michael,747750-13846,US1FLBY0016,8.102967186194729,True,0.26614387128013234,0.0,False
Michael,747760-03818,USW00003818,0.039775956151816415,False,0.12138591326526517,33.33,False
Michael,747761-99999,USW00063871,0.4575397351391742,True,0.28607270447974925,83.33,True
Michael,747810-13857,US1GALW0018,7.672267591739216,True,0.2514721278853086,100.0,True
Michael,994045-99999,US1FLFR0002,2.6094382936725045,True,0.23083962223528823,50.0,True
Michael,994086-99999,US1FLWK0007,4.146007665417371,True,0.24272158950428707,100.0,True
Michael,997352-99999,US1FLBY0007,2.782438021841554,True,0.2269388782380182,50.0,True
Michael,997992-99999,US1FLFR0003,2.283843082158377,True,0.24139776948446742,50.0,True
Michael,998199-99999,US1FLBY0013,8.21158780847337,True,0.240880717737975,0.0,False
Michael,999999-63871,USW00063871,0.0397736254028232,True,0.2839908796935118,83.33,True
